2014-05-29T09:17:33
Diphda 0h43m35.5s/-17deg59’11.4” 685.531 1011.878
thetaCet 1h24m1.4s/-8deg11’01.1” 531.959 1108.408
tauCet 1h44m3.1s/-15deg56’14.3” 510.020 950.449
Fomalhaut 22h57m39.4s/-29deg37’22.9” 1036.551 937.286
xiCet 1h49m35.0s/-10deg41’12.8” 469.00 1024.000
BatenKaitos 1h51m27.7s/-10deg20’06.6” 463.00 1026.00
etaCet 1h08m35.6s/-10deg10’57.8” 583.0 1098.0
phi2Cet 0h50m7.4s/-10deg38’43.2” 640.0 1116.0
phi1Cet 0h44m11.4s/-10deg36’36.1” 657.00 1124.0

732.0 1180.0
906 1040 23h33m16.6s -20deg54'52.2"
